x,y
589,133172
417,71494
570,109075
523,87869
815,175318
485,76827
435,61386
157,31906
690,129014
1039,238326
456,64972
1348,330551
41,2965
1379,357888
765,148008
1,83
72,5593
1278,304216
320,36042
1167,272866
961,206084
1225,292727
767,157421
1234,273720
822,136974
330,40513
775,137819
96,16609
1482,358562
994,196016
966,191395
37,2112
884,167540
1048,230595
47,3237
1307,381319
201,20174
850,208460
1157,278783
571,92794
215,22718
136,12633
1363,348816
828,146361
840,154713
816,139428
884,166552
690,112052
300,28158
352,39228
1261,275320
1248,276234
1253,279519
1453,350595
42,2446
778,131101
1075,219478
186,25234
24,1171
1214,349976
511,70549
815,201377
900,193639
491,89885
1204,316881
1332,339146
1440,383429
442,61870
411,50574
1400,342778
1483,411462
1172,290334
1190,343567
645,127765
794,174191
584,107152
613,120028
1036,259155
1276,325905
646,136906
1156,284970
684,144019
789,168606
1498,414677
1480,399566
879,197632
830,181958
820,183087
1016,238427
421,54421
734,150631
235,21879
772,175804
1280,330287
1445,387562
1461,394194
1283,321528
938,220641
190,17431
527,107960
1032,246497
864,156583
456,62654
577,82300
320,33113
895,170639
1414,331016
449,51611
289,27484
149,13049
247,23877
195,15488
856,161721
1265,285037
594,102573
977,214552
931,215376
604,100870
757,163762
372,45038
1317,321722
943,198840
754,121917
1438,342925
1452,350056
522,63435
870,165033
698,105177
715,121125
321,42383
1213,269764
376,48692
696,106912
1185,268762
110,18088
1070,228382
553,71137
1336,338671
425,65347
567,119523
30,2115
649,166078
603,122004
1227,303320
1293,325288
184,16690
849,194746
95,8172
1296,342681
863,197730
231,21838
1096,233116
1433,379857
413,53514
68,6267
764,181135
984,228248
730,166165
1192,292411
660,140484
1144,274088
429,54643
499,84700
12,840
279,47346
1250,269596
1395,324904
115,7914
349,33674
90,6085
703,102045
830,138527
503,60716
1259,268511
726,110596
106,7300
1099,245284
1220,270227
430,47643
972,196905
50,13365
333,32926
154,11537
1326,305821
1213,264014
444,49952
1166,266425
166,18081
290,26775
1027,216125
980,197042
28,1475
137,11833
1358,365846
106,8618
1269,358487
1331,342017
906,215590
643,132518
360,41659
175,34266
1169,263070
1201,297870
1297,329634
838,184450
1429,382448
622,180010
742,148280
571,105934
516,79790
617,109511
954,254214
637,126993
921,213397
947,221878
1090,266227
758,160976
328,35442
757,164215
381,44819
234,36832
571,106274
1422,383616
422,74904
484,88568
1049,225397
684,124811
21,1454
710,181477
1307,322966
716,139885
768,152879
528,80812
981,231759
959,220970
71,5410
186,18506
1234,289787
1105,245651
1324,340255
958,209281
647,114428
195,20485
1453,397247
727,138074
534,70983
141,11670
1371,318216
771,123998
1495,367685
870,153690
67,4478
645,96596
305,30551
1281,280800
308,39990
1146,297223
1444,463024
455,64419
546,101131
857,218818
321,46566
476,80870
686,147503
874,203163
58,4556
1047,262261
1097,273550
1034,240976
593,97066
280,34845
70,5428
202,20041
1172,264885
1155,268740
345,40672
566,80291
452,68039
1252,278352
965,246048
1445,363344
137,10343
231,20790
1358,322883
1235,284760
1074,244150
1295,318694
740,143706
523,80620
232,24206
1161,275039
26,1861
1212,291308
513,86677
620,109936
988,236594
1484,413203
1244,292259
644,93822
1152,241785
1103,228458
876,154835
1230,280021
49,2801
793,136948
92,6375
958,197763
437,67066
1161,294712
1261,302785
166,15221
216,21986
1420,369834
865,207943
90,16526
377,38954
417,51513
191,14627
488,92306
623,136386
569,93888
785,136172
778,126392
620,84879
1179,243449
224,19686
1308,373886
744,149723
179,15774
1359,336441
270,30757
1292,330647
1352,341974
675,121592
670,119975
645,116009
320,38157
531,88257
680,113083
943,182429
29,1732
368,42526
1308,335567
1367,342483
1072,244924
522,78191
402,50427
567,72956
698,103397
434,48630
1370,317082
704,104608
1059,203942
441,48659
539,66104
1384,324102
390,40117
727,110266
1346,310475
1408,327306
5,267
346,33442
1089,217669
446,48858
861,157309
1102,235749
1044,216484
169,14736
1357,320335
384,49881
393,41335
1069,221272
667,95639
1141,243401
783,165612
1037,230166
613,108777
802,160623
164,13622
756,147285
14,657
1264,319966
117,8102
824,144877
33,1913
1105,231708
1024,213274
305,38912
572,80004
330,36076
1154,241641
365,47770
595,80888
1012,202027
1476,354867
969,192151
655,97174
169,15271
1470,384018
322,57057
358,56590
115,11042
27,1823
406,89639
41,3009
1292,415698
1343,353143
1149,259338
109,18174
1110,239209
187,25861
1040,215413
228,29564
884,160476
211,17249
167,12800
885,163672
459,67047
905,172638
347,44370
869,154104
301,38035
1054,217705
629,87760
256,24341
249,23955
1103,224740
576,74563
278,29200
395,44306
398,45301
1495,388978
57,4112
1196,314902
421,77325
1352,321356
301,31912
492,98135
390,49164
948,187003
1027,197558
822,133447
1117,223500
1114,228158
526,66796
936,171655
1283,283065
836,139713
132,9275
913,160156
669,94359
1178,245051
1112,222268
1109,222916
336,33696
1270,282179
6,380
183,17646
1390,339079
817,168853
35,2064
360,45265
728,131663
1495,394196
726,132885
284,34369
1278,299735
689,127788
588,97984
1396,366077
642,129459
556,91952
791,181177
252,24375
1233,279518
603,78368
558,75752
1005,198352
1098,228832
890,160086
310,39020
6,257
891,170004
1252,277761
723,148706
279,29545
1420,405147
570,98188
201,16851
1282,385831
1385,377090
1188,361821
775,186508
155,23243
1324,440517
999,260049
1355,408982
1283,352951
270,29878
182,18300
422,81035
1058,287591
1037,286962
1067,316965
365,45606
564,108360
1186,338192
606,101598
922,218950
358,45625
324,38120
1095,359972
558,107317
578,98022
258,29124
381,99051
173,36615
745,146879
790,173743
1064,256257
1089,272061
388,46522
137,14890
1172,305455
95,8258
856,220719
734,157495
902,231149
914,212422
458,67043
792,176830
267,27347
858,183243
517,87208
501,77344
917,187821
663,225385
774,161799
377,47240
1105,308024
681,136795
840,168688
506,84553
1057,302939
1386,395109
1073,226531
1118,279259
502,92206
1259,311286
277,27799
1130,276763
1151,277733
1217,278883
1421,376710
1411,331761
881,157549
795,143157
750,130979
1336,307660
391,52969
981,196518
413,55026
759,177879
924,209377
749,165552
1142,265164
1179,269155
636,100854
1033,243144
45,3410
256,33770
1480,394814
1413,372837
1157,287607
216,20056
1479,386223
369,52058
862,188246
689,145264
351,39957
505,130414
1474,423042
34,2554
326,41162
1161,282713
1407,343707
468,53416
1227,269482
213,27872
1498,435740
883,190126
1452,380243
512,84488
539,85099
1273,330415
1240,314061
1093,251358
1005,220792
669,96032
936,178462
599,121617
921,185366
1242,278016
428,57478
1189,255305
527,67474
187,16045
379,42019
750,126094
1451,480278
664,130440
1060,236332
948,211982
1010,209565
1174,252766
1044,217357
1316,331018
971,194615
623,86945
165,14722
517,67641
1000,199268
1261,282695
110,18690
1009,204862
1412,363530
1206,339300
1437,430879
1296,336093
748,158709
1203,272586
1290,287224
993,196748
315,40461
806,141801
791,138128
1242,274185
535,68585
1424,334601
1250,274295
792,131991
520,117710
725,145639
435,58204
60,4537
315,40039
434,57073
976,207519
83,5456
1319,337311
391,52477
738,156753
1126,258151
119,8260
362,40739
491,74093
289,31646
688,109441
1366,316314
780,130159
1389,319366
897,165891
915,174965
1302,300839
1029,205735
629,117719
366,47222
228,33465
690,133426
1190,298616
735,157911
795,171838
347,38837
833,178180
1062,246997
652,201995
816,152347
1199,266919
1436,343544
35,1954
1284,287103
1240,273435
1195,260512
926,198746
1332,335525
191,16916
1119,256674
363,45878
896,184715
1200,279121
152,12200
793,158832
1366,353865
1139,259918
383,48153
1098,239164
780,151723
929,195691
1025,208421
1457,345422
71,14995
1407,325125
1155,243440
1446,375890
1359,365508
996,238852
547,105077
185,17833
1365,370886
1334,345925
876,192227
576,102881
690,153651
844,162199
724,110438
437,51424
860,152910
1053,212888
171,23489
685,100142
898,167879
660,96759
622,88847
606,82702
541,72973
771,181798
371,60010
1214,306914
13,644
1257,318107
1356,335560
1033,215125
677,103368
1154,240701
896,160168
1057,218056
461,51024
108,7749
204,18622
719,115229
849,159345
831,145655
185,14443
1064,226079
514,61040
719,119201
50,3035
1300,290747
889,214871
459,80350
410,75107
324,49500
379,70266
1339,364506
424,59557
235,24390
1404,368944
1293,333775
647,138665
579,77159
1452,338137
936,181675
1382,320946
1499,363659
1180,252829
947,210797
659,136763
863,194367
972,224041
922,210885
1359,353715
1212,311688
1002,232321
367,43128
1037,226800
237,22217
997,232360
895,206721
1245,309257
747,159170
92,16702
921,174956
728,125180
300,30680
882,161149
1286,286602
1263,276083
755,119641
1493,407933
323,45154
969,221320
1026,242465
1254,298455
748,119581
138,13040
1417,331523
884,187491
261,56706
1165,252782
1056,212699
1133,238906
287,36855
619,92000
1235,264420
527,65106
807,160364
423,79912
528,102175
1063,256694
111,11575
985,248704
1319,337478
282,28979
953,221162
371,44566
1424,356190
999,245142
881,180420
1404,335625
1125,233283
151,21917
1277,287219
358,48395
1037,216002
178,16770
1242,266360
888,191080
815,175078
104,9654
443,65866
1447,483914
609,110000
987,259603
701,123240
280,33319
879,169743
132,9662
159,14270
871,166725
1348,313435
261,27186
914,190257
112,8282
365,45302
605,103612
885,200529
585,110124
145,13370
238,26391
560,121240
1354,342095
1257,301399
46,2891
1479,365152
519,63075
1491,364393
1218,266120
1371,316434
600,78681
1035,218646
1319,343259
1098,252398
376,50858
128,12594
1486,385419
67,4552
1500,407002
1476,361078
326,41776
1410,332047
1137,240006
857,151253
1161,248650
868,149835
595,80692
693,115347
1222,292016
639,149799
968,217325
438,63435
693,128007
343,43255
453,56851
453,63464
1035,245783
854,203420
451,49493
978,220366
113,9373
404,44539
1190,281716
886,166231
378,48208
1101,234546
140,20237
225,19190
990,201410
785,131161
1302,286568
1181,255880
1079,240830
649,137114
991,230639
397,71085
1180,274200
698,148434
411,58790
395,70298
336,50586
618,111629
336,48954
449,72356
559,106751
1179,288405
62,4872
909,238841
654,138015
1168,270327
235,30677
706,112551
565,86263
18,1090
442,55915
838,153116
416,45488
1047,217361
1022,203673
1363,340333
1289,344597
1326,326474
670,143294
810,180512
1084,269616
1329,342444
581,119244
759,166741
1218,303239
470,78973
246,34749
883,187313
60,4415
1291,341320
1396,377429
829,179143
1162,284870
798,203644
936,230849
1052,239685
355,49269
413,66968
1472,366804
771,119305
88,5994
414,44044
397,44064
342,32972
810,131557
1184,245540
433,47542
314,31531
710,106679
750,124180
1031,209299
673,96382
274,27973
898,165955
1245,278296
431,57307
1439,341883
366,49801
1063,220159
141,20643
889,213072
74,5927
602,133710
961,237010
89,6970
1202,342880
93,16796
1142,337652
894,214756
1251,396200
1389,396642
1044,232555
488,119843
512,94280
76,6350
968,242361
1183,326535
773,154987
478,73911
551,89932
1228,308670
1450,432616
1330,362322
600,99521
691,124586
1371,337582
994,214216
1221,279415
145,10471
702,122290
322,39197
819,193320
30,2416
957,252475
114,10528
1467,414243
841,182339
1201,295944
1169,290035
639,141238
1381,354176
1028,244346
461,84030
369,66777
1010,215773
760,167899
680,145094
178,15922
443,90679
283,33657
1343,302405
1084,210519
1041,201300
267,23565
471,54552
64,3895
1396,324069
413,45000
1120,224047
1096,220162
868,150813
437,47539
382,41109
1416,323538
1316,295732
1283,281442
1191,253728
1193,294395
430,79558
169,17190
931,205925
845,190344
1055,252519
348,40880
1281,320546
433,83217
383,51389
419,48925
233,19661
1339,316184
462,65705
968,187114
98,17142
517,61676
1362,306185
849,256279
266,29537
1173,292761
422,63180
545,96414
1456,455160
747,140785
990,232237
1123,273711
719,117777
950,190245
679,100373
455,56918
208,21270
405,50007
420,50244
678,112758
576,74290
643,98861
1250,268335
18,938
1208,261389
667,95323
469,58160
727,126268
1232,269366
1325,301384
1048,218452
550,68133
1112,281703
50,3731
1073,288785
1476,399297
952,226015
146,13836
1111,281730
256,25065
1276,331867
829,188717
1432,371751
1287,332738
890,196483
150,13975
175,15727
570,120359
1140,276963
958,215521
39,2519
205,17885
996,238048
1180,296632
394,68693
537,96133
773,175055
1109,272237
121,10973
498,101615
339,55227
190,18515
1287,334089
269,34414
441,71343
1137,258845
373,55314
335,51740
266,25267
12,801
666,106921
722,175755
611,108783
584,113203
1004,197406
1373,329560
1178,255960
679,122798
1300,316584
539,93354
427,77513
955,256680
1240,286832
354,37815
242,23482
1373,342645
726,140611
674,126246
847,174485
229,23318
953,204075
684,118081
973,202984
629,105363
849,180138
380,53499
693,131921
494,78883
1146,277461
326,34813
485,98277
894,205228
763,147518
991,220650
1372,342647
889,186223
586,100370
992,231493
1250,319835
1267,303642
1316,322380
268,27926
136,12131
1358,332094
519,83801
1211,265570
116,8418
115,9952
1408,346795
846,163502
1222,317904
1349,345839
1003,223226
1020,227888
1294,314752
1443,369290
1124,252413
751,144311
1085,238300
294,32938
806,157599
212,19142
609,106230
962,200360
1179,277929
595,101345
9,626
124,10772
194,19121
247,26594
356,45312
1100,246425
354,43676
95,7908
748,134736
826,171843
1474,384768
1393,349458
427,56033
17,1189
1386,338508
975,200562
306,38520
1238,280191
859,153980
1423,337175
473,54783
991,199068
609,83779
1375,353329
1103,355071
207,20223
1403,405513
1015,267361
148,39879
333,33332
1459,418135
1436,413771
198,20401
869,208266
46,3020
1271,363045
522,90765
728,138798
363,54832
852,166581
741,152252
893,201891
6,362
663,148508
1186,289331
141,13920
1097,273708
1324,345333
272,39936
1462,391197
86,6944
1313,353667
1289,324808
525,89607
525,90998
776,167483
722,157306
397,66435
911,189021
179,17250
526,109045
1136,272947
440,57626
900,200230
1191,293280
34,2383
1117,265608
927,187537
1439,388630
1282,314944
1030,232064
1164,273771
1082,279557
82,5882
1238,300656
197,18065
580,91751
1287,308799
800,161282
435,57597
1426,357201
480,69898
681,115740
1236,290072
1377,372744
68,4909
377,49810
926,217491
687,127558
355,54550
256,36077
756,144940
927,209445
997,215675
341,41277
1141,257212
433,60840
