r,n,t
13,13000,1042
14,13000,1038
15,13000,1038
16,13000,1038
2,13100,3662
3,13100,2321
4,13100,2001
5,13100,1557
6,13100,1556
7,13100,1340
8,13100,1313
9,13100,1297
10,13100,1301
11,13100,1052
12,13100,1045
13,13100,1048
14,13100,1045
15,13100,1050
16,13100,1048
2,13200,3660
3,13200,2554
4,13200,1837
5,13200,1605
6,13200,1564
7,13200,1322
8,13200,1309
9,13200,1309
10,13200,1321
11,13200,1055
12,13200,1055
13,13200,1066
14,13200,1054
15,13200,1053
16,13200,1053
2,13300,3656
3,13300,2602
4,13300,1880
5,13300,1580
6,13300,1597
7,13300,1325
8,13300,1330
9,13300,1325
10,13300,1324
11,13300,1071
12,13300,1068
13,13300,1068
14,13300,1068
15,13300,1072
16,13300,1068
2,13400,3657
3,13400,2405
4,13400,2067
5,13400,1588
6,13400,1585
7,13400,1378
8,13400,1327
9,13400,1327
10,13400,1357
11,13400,1070
12,13400,1069
13,13400,1074
14,13400,1069
15,13400,1069
16,13400,1074
2,13500,3694
3,13500,2637
4,13500,1863
5,13500,1645
6,13500,1602
7,13500,1341
8,13500,1345
9,13500,1340
10,13500,1337
11,13500,1085
12,13500,1080
13,13500,1080
14,13500,1084
15,13500,1081
16,13500,1081
2,13600,3715
3,13600,2443
4,13600,1885
5,13600,1842
6,13600,1628
7,13600,1389
8,13600,1349
9,13600,1355
10,13600,1349
11,13600,1086
12,13600,1091
13,13600,1087
14,13600,1086
15,13600,1090
16,13600,1087
2,13700,3741
3,13700,2627
4,13700,1921
5,13700,1657
6,13700,1628
7,13700,1358
8,13700,1357
9,13700,1362
10,13700,1358
11,13700,1093
12,13700,1097
13,13700,1094
14,13700,1094
15,13700,1094
16,13700,1097
2,13800,3782
3,13800,2524
4,13800,1913
5,13800,1754
6,13800,1743
7,13800,1413
8,13800,1417
9,13800,1376
10,13800,1382
11,13800,1110
12,13800,1109
13,13800,1115
14,13800,1110
15,13800,1109
16,13800,1113
2,13900,3819
3,13900,2689
4,13900,1931
5,13900,1698
6,13900,1648
7,13900,1395
8,13900,1379
9,13900,1380
10,13900,1384
11,13900,1112
12,13900,1112
13,13900,1116
14,13900,1111
15,13900,1111
16,13900,1112
2,14000,4080
3,14000,2524
4,14000,1950
5,14000,1666
6,14000,1659
7,14000,1395
8,14000,1390
9,14000,1389
10,14000,1396
11,14000,1121
12,14000,1121
13,14000,1122
14,14000,1125
15,14000,1119
16,14000,1121
2,14100,3903
3,14100,2716
4,14100,1949
5,14100,1728
6,14100,1674
7,14100,1432
8,14100,1442
9,14100,1406
10,14100,1408
11,14100,1131
12,14100,1130
13,14100,1135
14,14100,1131
15,14100,1131
16,14100,1130
2,14200,4130
3,14200,2569
4,14200,1964
5,14200,1701
6,14200,1689
7,14200,1433
8,14200,1415
9,14200,1415
10,14200,1420
11,14200,1145
12,14200,1141
13,14200,1146
14,14200,1142
15,14200,1140
16,14200,1140
2,14300,4148
3,14300,2541
4,14300,2013
5,14300,1715
6,14300,1699
7,14300,1427
8,14300,1423
9,14300,1423
10,14300,1427
11,14300,1147
12,14300,1148
13,14300,1152
14,14300,1148
15,14300,1148
16,14300,1151
2,14400,3969
3,14400,2544
4,14400,1986
5,14400,1706
6,14400,1706
7,14400,1433
8,14400,1428
9,14400,1433
10,14400,1429
11,14400,1152
12,14400,1156
13,14400,1153
14,14400,1152
15,14400,1152
16,14400,1155
2,14500,4193
3,14500,2559
4,14500,2003
5,14500,1717
6,14500,1721
7,14500,1438
8,14500,1438
9,14500,1441
10,14500,1438
11,14500,1160
12,14500,1164
13,14500,1160
14,14500,1159
15,14500,1164
16,14500,1161
2,14600,3983
3,14600,2574
4,14600,2016
5,14600,1731
6,14600,1747
7,14600,1449
8,14600,1477
9,14600,1452
10,14600,1452
11,14600,1218
12,14600,1172
13,14600,1171
14,14600,1393
15,14600,1174
16,14600,1169
2,14700,4020
3,14700,2604
4,14700,2031
5,14700,1752
6,14700,1746
7,14700,1469
8,14700,1464
9,14700,1464
10,14700,1705
11,14700,1184
12,14700,1181
13,14700,1233
14,14700,1181
15,14700,1180
16,14700,1185
2,14800,4040
3,14800,2614
4,14800,2078
5,14800,1757
6,14800,1770
7,14800,1472
8,14800,1512
9,14800,1485
10,14800,1590
11,14800,1276
12,14800,1195
13,14800,1188
14,14800,1221
15,14800,1192
16,14800,1187
2,14900,4068
3,14900,2635
4,14900,2054
5,14900,1772
6,14900,1905
7,14900,1570
8,14900,1498
9,14900,1523
10,14900,1488
11,14900,1194
12,14900,1194
13,14900,1199
14,14900,1194
15,14900,1194
16,14900,1194
2,15000,4097
3,15000,2666
4,15000,2074
5,15000,1826
6,15000,1782
7,15000,1728
8,15000,1496
9,15000,1515
10,15000,1496
11,15000,1205
12,15000,1209
13,15000,1204
14,15000,1204
15,15000,1212
16,15000,1205
