r,n,t
15,2800,214
16,2800,214
2,2900,784
3,2900,500
4,2900,430
5,2900,332
6,2900,332
7,2900,276
8,2900,276
9,2900,277
10,2900,277
11,2900,221
12,2900,221
13,2900,221
14,2900,221
15,2900,221
16,2900,221
2,3000,804
3,3000,517
4,3000,402
5,3000,344
6,3000,344
7,3000,287
8,3000,287
9,3000,325
10,3000,287
11,3000,229
12,3000,229
13,3000,229
14,3000,229
15,3000,229
16,3000,229
2,3100,874
3,3100,534
4,3100,415
5,3100,356
6,3100,356
7,3100,296
8,3100,296
9,3100,296
10,3100,296
11,3100,237
12,3100,236
13,3100,237
14,3100,275
15,3100,237
16,3100,237
2,3200,938
3,3200,846
4,3200,538
5,3200,371
6,3200,367
7,3200,324
8,3200,306
9,3200,307
10,3200,344
11,3200,244
12,3200,244
13,3200,244
14,3200,245
15,3200,244
16,3200,245
2,3300,891
3,3300,568
4,3300,443
5,3300,379
6,3300,411
7,3300,315
8,3300,316
9,3300,315
10,3300,316
11,3300,252
12,3300,252
13,3300,252
14,3300,252
15,3300,253
16,3300,252
2,3400,915
3,3400,586
4,3400,455
5,3400,390
6,3400,390
7,3400,325
8,3400,325
9,3400,359
10,3400,325
11,3400,260
12,3400,260
13,3400,260
14,3400,260
15,3400,260
16,3400,260
2,3500,976
3,3500,604
4,3500,469
5,3500,402
6,3500,403
7,3500,335
8,3500,335
9,3500,335
10,3500,369
11,3500,268
12,3500,268
13,3500,268
14,3500,268
15,3500,268
16,3500,268
2,3600,1003
3,3600,621
4,3600,482
5,3600,417
6,3600,489
7,3600,345
8,3600,344
9,3600,345
10,3600,344
11,3600,288
12,3600,275
13,3600,275
14,3600,275
15,3600,385
16,3600,386
2,3700,1001
3,3700,679
4,3700,496
5,3700,425
6,3700,425
7,3700,354
8,3700,354
9,3700,354
10,3700,354
11,3700,289
12,3700,283
13,3700,283
14,3700,283
15,3700,283
16,3700,283
2,3800,1028
3,3800,656
4,3800,510
5,3800,437
6,3800,437
7,3800,364
8,3800,364
9,3800,363
10,3800,364
11,3800,294
12,3800,291
13,3800,291
14,3800,291
15,3800,291
16,3800,291
2,3900,1058
3,3900,673
4,3900,523
5,3900,449
6,3900,448
7,3900,373
8,3900,373
9,3900,373
10,3900,386
11,3900,299
12,3900,299
13,3900,299
14,3900,299
15,3900,299
16,3900,299
2,4000,1080
3,4000,914
4,4000,560
5,4000,461
6,4000,460
7,4000,383
8,4000,390
9,4000,383
10,4000,422
11,4000,306
12,4000,307
13,4000,307
14,4000,306
15,4000,307
16,4000,307
2,4100,1110
3,4100,709
4,4100,552
5,4100,473
6,4100,473
7,4100,396
8,4100,393
9,4100,394
10,4100,393
11,4100,315
12,4100,315
13,4100,314
14,4100,315
15,4100,315
16,4100,315
2,4200,1130
3,4200,725
4,4200,564
5,4200,487
6,4200,484
7,4200,403
8,4200,403
9,4200,403
10,4200,403
11,4200,322
12,4200,322
13,4200,323
14,4200,322
15,4200,325
16,4200,322
2,4300,1159
3,4300,760
4,4300,577
5,4300,495
6,4300,495
7,4300,412
8,4300,412
9,4300,412
10,4300,456
11,4300,344
12,4300,329
13,4300,329
14,4300,329
15,4300,329
16,4300,329
2,4400,1422
3,4400,764
4,4400,593
5,4400,508
6,4400,544
7,4400,423
8,4400,426
9,4400,423
10,4400,424
11,4400,339
12,4400,338
13,4400,338
14,4400,338
15,4400,338
16,4400,339
2,4500,1215
3,4500,780
4,4500,617
5,4500,520
6,4500,520
7,4500,433
8,4500,433
9,4500,434
10,4500,434
11,4500,346
12,4500,347
13,4500,347
14,4500,351
15,4500,347
16,4500,347
2,4600,1267
3,4600,801
4,4600,622
5,4600,534
6,4600,534
7,4600,445
8,4600,445
9,4600,530
10,4600,445
11,4600,356
12,4600,356
13,4600,356
14,4600,398
15,4600,356
16,4600,356
2,4700,1268
3,4700,852
4,4700,639
5,4700,543
6,4700,542
7,4700,452
8,4700,452
9,4700,452
10,4700,452
11,4700,362
12,4700,361
13,4700,365
14,4700,361
15,4700,362
16,4700,361
2,4800,1302
3,4800,831
4,4800,645
5,4800,553
6,4800,553
7,4800,462
8,4800,465
9,4800,461
10,4800,461
11,4800,369
12,4800,369
13,4800,369
14,4800,369
15,4800,369
16,4800,369
2,4900,1322
3,4900,850
4,4900,662
5,4900,566
6,4900,565
7,4900,471
8,4900,470
9,4900,471
10,4900,471
11,4900,380
12,4900,376
13,4900,417
14,4900,376
15,4900,377
16,4900,377
2,5000,1350
3,5000,1088
4,5000,673
5,5000,590
6,5000,577
7,5000,481
8,5000,480
9,5000,520
10,5000,480
11,5000,384
12,5000,384
13,5000,384
14,5000,391
15,5000,385
16,5000,384
2,5100,1392
3,5100,889
4,5100,691
5,5100,592
6,5100,592
7,5100,497
8,5100,494
9,5100,493
10,5100,493
11,5100,395
12,5100,394
13,5100,394
14,5100,394
15,5100,394
16,5100,397
2,5200,1402
3,5200,904
4,5200,699
5,5200,599
6,5200,599
7,5200,533
8,5200,500
9,5200,512
10,5200,499
11,5200,399
12,5200,566
13,5200,429
14,5200,400
15,5200,399
16,5200,399
2,5300,1432
3,5300,929
4,5300,712
5,5300,611
6,5300,610
7,5300,508
