x,y
38,14237
258,31396
1018,221201
1380,249328
427,67148
1087,172368
340,49883
1007,190051
449,57513
244,32188
882,128678
1399,223817
488,65204
482,68952
32,3683
353,49750
1080,159209
1119,160754
790,112958
742,113308
848,117967
437,67048
385,53712
542,77029
1364,200065
845,117698
924,162832
670,142532
581,112062
466,67892
16,1727
82,11249
787,139657
1321,227348
1112,183874
788,135982
710,135277
274,44769
705,120143
349,54950
1051,165605
1414,221870
1013,160529
609,93048
674,110693
172,24558
1334,237951
1469,290958
883,152847
1236,208583
218,33798
1429,316242
808,177822
1341,258445
726,122156
1137,204125
1295,233737
1082,192917
935,153056
429,55848
178,21942
1007,153528
432,56146
608,86657
1086,169775
1320,197796
126,24605
116,13206
1340,202628
876,122763
13,1335
614,87507
110,15523
856,132324
173,31488
361,46559
68,8298
1103,185674
959,164967
992,165478
875,133773
1283,203148
1426,256474
1171,223149
303,47990
526,89263
1308,232543
510,81556
887,170686
437,60689
297,49376
1225,194859
153,19252
1231,202687
250,78320
908,140124
1487,225161
1454,235620
1488,223117
1311,195456
861,123243
628,90186
40,4848
864,128192
1369,276312
812,124424
956,139771
1249,224577
467,62368
1213,201742
1123,231208
971,168037
389,63461
234,36824
626,109573
369,60762
527,88045
506,90819
41,5936
265,43123
728,129589
657,114067
524,90241
8,839
1393,253253
1363,207501
1235,185162
1483,221751
184,32240
205,28184
930,171532
596,96868
1334,227094
310,44301
379,54603
1494,256877
22,1983
921,174954
515,87690
854,158441
680,116372
1448,231953
854,138569
974,156172
479,77399
1229,195709
1363,217184
213,34773
22,2520
1229,188258
124,15616
709,112080
794,137603
1149,185549
751,124076
1244,195374
1105,174698
1019,160349
339,49463
331,53519
525,96025
664,106977
565,94374
1148,179149
259,37381
614,97738
725,119516
641,102775
924,149422
1370,212030
1133,180875
533,86656
1147,180758
304,50080
436,68201
385,56618
268,39256
533,87208
730,133041
389,65811
1059,181423
109,12440
1380,230264
1112,204558
619,106050
1041,180179
20,1805
550,91817
668,110715
1367,219424
1172,193161
1091,171406
1175,176481
1012,151280
850,148420
60,6121
401,56355
1403,247961
149,17346
1334,222382
889,157061
1350,230061
632,102845
159,33776
1060,167927
1130,186086
1441,251993
1018,175994
1272,224991
798,119182
944,153422
1375,208432
1412,241240
437,62890
838,142026
1139,182090
81,8897
1411,217605
579,76333
775,111357
899,125282
1250,183731
687,94937
925,131641
1396,210750
117,23956
1290,195119
338,52825
183,21371
1119,210522
1158,219880
335,54324
132,37023
499,101165
1266,238217
1217,255597
256,39330
976,171025
833,150165
1278,229275
965,169676
398,153916
1016,173334
1097,239570
1299,337160
103,15798
1441,278769
54,7208
672,114199
1400,247640
1037,233288
538,102044
1003,192965
855,165000
1246,227614
314,50160
1306,219587
1143,203424
721,134905
1028,168082
230,40599
577,94463
1336,197574
613,80963
1178,174617
1096,157314
520,77035
1141,171674
379,59540
276,35578
639,89839
356,48046
1460,213238
325,51028
643,90816
53,6223
604,88478
1133,195594
43,4614
449,74321
685,131566
252,42731
1495,229979
919,148870
537,72145
1021,153365
387,61467
614,88910
147,19637
1012,151536
1361,205291
868,122057
867,134118
476,60981
1274,190162
185,32501
551,77435
1316,196542
1232,204369
1399,237117
1075,156530
437,89785
838,132318
89,10275
507,73636
2,191
1216,215663
453,67512
185,29341
1220,195432
165,25223
688,114295
317,51797
339,51578
170,25876
129,18453
744,116283
1475,222432
1351,234999
1020,235220
586,100217
913,160627
786,141051
558,97098
722,124521
882,159908
600,99563
1333,261236
211,26786
411,60420
34,3358
655,98644
1320,210703
1355,234325
195,25627
1308,199713
1329,206311
311,44505
249,34483
618,96881
880,121787
905,122671
929,126659
1000,136456
1096,154946
321,40294
142,16239
1218,170685
1117,155958
1014,138201
765,104716
1392,200799
253,31721
631,88052
1001,154070
1024,144202
546,74306
1156,172706
1440,217158
799,110029
1201,176395
1252,187279
1317,212045
92,13428
615,120552
1070,201347
905,163806
1194,206532
1383,266551
1268,257041
6,528
11,943
916,139962
27,3456
894,158322
1066,216390
283,52647
713,129867
1272,223793
863,164141
41,4970
407,58909
1071,198919
49,5311
633,95687
638,95634
1086,216710
560,120024
1233,207870
917,197640
643,119112
1304,235086
346,58697
47,7463
548,104554
78,11506
928,181794
1463,256313
1292,238834
1466,264004
1400,259113
646,128780
829,156233
620,111492
317,49050
1091,178885
557,93307
1404,210804
225,40465
957,155569
303,49801
654,94962
652,100589
1029,150956
373,59322
1459,235356
370,61250
393,93775
577,90926
21,2417
774,114814
612,107160
1408,209319
95,20821
822,120831
1497,285307
1233,252638
227,35831
1260,225540
492,83795
327,87064
948,168365
314,56028
58,24802
1245,232647
134,19616
23,2806
1065,175116
669,105379
77,10279
631,103792
20,2105
61,6875
1016,170488
77,8718
877,140656
775,131668
490,71880
285,47977
482,76906
1256,201490
1392,230954
402,65955
967,182883
1421,229533
1270,190073
747,130796
807,141042
263,43041
452,77440
424,72453
1324,220545
1202,222947
870,184990
191,30458
712,168858
1249,200910
1308,218723
268,40626
1029,155554
787,128065
811,123345
1075,165438
663,91167
1405,204645
1198,180992
328,51211
529,73837
932,139957
716,109532
156,18371
986,147289
706,98079
1233,178138
1004,189902
772,164929
509,82200
1060,180028
1380,213851
681,110883
839,141093
229,33068
643,94534
911,131804
1263,201529
1083,189982
